POS,Club,PTS,P,W,D,L,GF,GA,GD,Trend,Unnamed: 11
1,INTER INT,97,38,30,7,1,80,34,46,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
2,ROMA ROM,75,38,22,9,7,74,34,40,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
3,LAZIO LAZ,62,38,18,11,9,59,33,26,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
4,MILAN MIL,61,38,19,12,7,57,36,21,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
5,PALERMO PAL,58,38,16,10,12,58,51,7,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
6,FIORENTINA FIO,58,38,21,10,7,62,31,31,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
7,EMPOLI EMP,54,38,14,12,12,42,43,-1,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
8,ATALANTA ATA,50,38,12,14,12,56,54,2,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
9,SAMPDORIA SAM,49,38,13,10,15,44,48,-4,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
10,UDINESE UDI,46,38,12,10,16,49,55,-6,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
11,LIVORNO LIV,43,38,10,13,15,41,54,-13,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
12,PARMA PAR,42,38,10,12,16,41,56,-15,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
13,CATANIA CAT,41,38,10,11,17,46,68,-22,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
14,REGGINA RGI,40,38,12,15,11,52,50,2,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
15,ROBUR SIENA SIE,40,38,9,14,15,35,45,-10,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
16,TORINO TOR,40,38,10,10,18,27,47,-20,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
17,CAGLIARI CAG,40,38,9,13,16,35,46,-11,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
18,CHIEVOVERONA CHI,39,38,9,12,17,38,48,-10,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
19,ASCOLI ASC,27,38,5,12,21,36,67,-31,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
20,MESSINA MES,26,38,5,11,22,37,69,-32,expand_moreexpand_less,
No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available,No match available
