POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,86,38,26,8,4,69,31,38
2,INTER INT,84,38,25,9,4,84,32,52
3,NAPOLI NAP,79,38,24,7,7,74,31,43
4,JUVENTUS JUV,70,38,20,10,8,57,37,20
5,LAZIO LAZ,64,38,18,10,10,77,58,19
6,ROMA ROM,63,38,18,9,11,59,43,16
7,FIORENTINA FIO,62,38,19,5,14,59,51,8
8,ATALANTA ATA,59,38,16,11,11,65,48,17
9,HELLAS VERONA VER,53,38,14,11,13,65,59,6
10,TORINO TOR,50,38,13,11,14,46,41,5
11,SASSUOLO SAS,50,38,13,11,14,64,66,-2
12,UDINESE UDI,47,38,11,14,13,61,58,3
13,BOLOGNA BOL,46,38,12,10,16,44,55,-11
14,EMPOLI EMP,41,38,10,11,17,50,70,-20
15,SAMPDORIA SAM,36,38,10,6,22,46,63,-17
16,SPEZIA SPE,36,38,10,6,22,41,71,-30
17,SALERNITANA SAL,31,38,7,10,21,33,78,-45
18,CAGLIARI CAG,30,38,6,12,20,34,68,-34
19,GENOA GEN,28,38,4,16,18,27,60,-33
20,VENEZIA VEN,27,38,6,9,23,34,69,-35
