POS,Club,PTS,P,W,D,L,GF,GA,GD
1,SAMPDORIA SAM,51,34,20,11,3,57,24,33
2,MILAN MIL,46,34,18,10,6,46,19,27
3,INTER INT,46,34,18,10,6,56,31,25
4,GENOA GEN,40,34,14,12,8,51,36,15
5,TORINO TOR,38,34,12,14,8,40,29,11
6,PARMA PAR,38,34,13,12,9,35,31,4
7,JUVENTUS JUV,37,34,13,11,10,45,32,13
8,NAPOLI NAP,37,34,11,15,8,37,37,0
9,ROMA ROM,36,34,11,14,9,43,37,6
10,ATALANTA ATA,35,34,11,13,10,38,37,1
11,LAZIO LAZ,35,34,8,19,7,33,36,-3
12,FIORENTINA FIO,31,34,8,15,11,40,34,6
13,BARI BAR,29,34,9,11,14,41,47,-6
14,CAGLIARI CAG,29,34,6,17,11,29,44,-15
15,LECCE LEC,25,34,6,13,15,20,47,-27
16,PISA PIS,22,34,8,6,20,34,60,-26
17,CESENA CES,19,34,5,9,20,28,58,-30
18,BOLOGNA BOL,18,34,4,10,20,29,63,-34
