POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,74,34,21,11,2,67,28,39
2,INTER INT,69,34,21,6,7,62,27,35
3,UDINESE UDI,64,34,19,7,8,62,40,22
4,ROMA ROM,59,34,16,11,7,67,42,25
5,FIORENTINA FIO,57,34,15,12,7,65,36,29
6,PARMA PAR,57,34,15,12,7,55,39,16
7,LAZIO LAZ,56,34,16,8,10,53,30,23
8,BOLOGNA BOL,48,34,12,12,10,55,46,9
9,SAMPDORIA SAM,48,34,13,9,12,52,55,-3
10,MILAN MIL,44,34,11,11,12,37,43,-6
11,BARI BAR,38,34,10,8,16,30,45,-15
12,EMPOLI EMP,37,34,10,7,17,50,58,-8
13,PIACENZA PIA,37,34,7,16,11,29,38,-9
14,L.R. VICENZA LRV,36,34,9,9,16,36,61,-25
15,BRESCIA BRE,35,34,9,8,17,45,63,-18
16,ATALANTA ATA,32,34,7,11,16,25,48,-23
17,LECCE LEC,26,34,6,8,20,32,72,-40
18,NAPOLI NAP,14,34,2,8,24,25,76,-51
