POS,Club,PTS,P,W,D,L,GF,GA,GD
1,NAPOLI NAP,42,30,15,12,3,41,21,20
2,JUVENTUS JUV,39,30,14,11,5,42,27,15
3,INTER INT,38,30,15,8,7,32,17,15
4,HELLAS VERONA VER,36,30,12,12,6,36,25,11
5,MILAN MIL,35,30,13,9,8,31,21,10
6,SAMPDORIA SAM,35,30,13,9,8,37,21,16
7,ROMA ROM,33,30,12,9,9,37,31,6
8,AVELLINO AVE,30,30,9,12,9,31,38,-7
9,COMO COM,26,30,5,16,9,16,20,-4
10,FIORENTINA FIO,26,30,8,10,12,30,35,-5
11,TORINO TOR,26,30,8,10,12,26,32,-6
12,ASCOLI ASC,24,30,7,10,13,18,33,-15
13,EMPOLI EMP,23,30,8,7,15,13,33,-20
14,BRESCIA BRE,22,30,7,8,15,25,35,-10
15,ATALANTA ATA,21,30,7,7,16,22,32,-10
16,UDINESE UDI,15,30,6,12,12,25,41,-16
