POS,Club,PTS,P,W,D,L,GF,GA,GD
1,MILAN MIL,70,34,20,10,4,59,34,25
2,LAZIO LAZ,69,34,20,9,5,65,31,34
3,FIORENTINA FIO,56,34,16,8,10,55,41,14
4,PARMA PAR,55,34,15,10,9,55,36,19
5,ROMA ROM,54,34,15,9,10,69,49,20
6,UDINESE UDI,54,34,16,6,12,52,52,0
7,JUVENTUS JUV,54,34,15,9,10,42,36,6
8,INTER INT,46,34,13,7,14,59,54,5
9,BOLOGNA BOL,44,34,11,11,12,44,47,-3
10,BARI BAR,42,34,9,15,10,39,44,-5
11,VENEZIA VEN,42,34,11,9,14,38,45,-7
12,CAGLIARI CAG,41,34,11,8,15,49,50,-1
13,PIACENZA PIA,41,34,11,8,15,48,49,-1
14,PERUGIA PER,39,34,11,6,17,43,61,-18
15,SALERNITANA SAL,38,34,10,8,16,37,51,-14
16,SAMPDORIA SAM,37,34,9,10,15,38,55,-17
17,L.R. VICENZA LRV,33,34,8,9,17,27,47,-20
18,EMPOLI EMP,20,34,4,10,20,26,63,-37
