POS,Club,PTS,P,W,D,L,GF,GA,GD
1,JUVENTUS JUV,90,38,28,6,4,70,30,40
2,NAPOLI NAP,79,38,24,7,7,74,36,38
3,ATALANTA ATA,69,38,20,9,9,77,46,31
4,INTER INT,69,38,20,9,9,57,33,24
5,MILAN MIL,68,38,19,11,8,55,36,19
6,ROMA ROM,66,38,18,12,8,66,48,18
7,TORINO TOR,63,38,16,15,7,52,37,15
8,LAZIO LAZ,59,38,17,8,13,56,46,10
9,SAMPDORIA SAM,53,38,15,8,15,60,51,9
10,BOLOGNA BOL,44,38,11,11,16,48,56,-8
11,SASSUOLO SAS,43,38,9,16,13,53,60,-7
12,UDINESE UDI,43,38,11,10,17,39,53,-14
13,SPAL SPA,42,38,11,9,18,44,56,-12
14,PARMA PAR,41,38,10,11,17,41,61,-20
15,CAGLIARI CAG,41,38,10,11,17,36,54,-18
16,FIORENTINA FIO,41,38,8,17,13,47,45,2
17,GENOA GEN,38,38,8,14,16,39,57,-18
18,EMPOLI EMP,38,38,10,8,20,51,70,-19
19,FROSINONE FRO,25,38,5,10,23,29,69,-40
20,CHIEVOVERONA CHI,17,38,2,14,22,25,75,-50
